form	sense	pos
waninassus	Mangel	Noun, common, masculine
wans	mangelhaft, fehlend	Adjective
wardja	Wächter	Noun, common, masculine
fra-wardjan	verderben	Verb
warei	Tücke, Verschlagenheit	Noun, common, feminine
wargiþa	Verdammungsurteil, Verurteilung	Noun, common, feminine
ga-wargjan	einen verurteilen zu 	Verb
warjan	wehren	Verb
warmjan	wärmen	Verb
warai*	behutsam, nüchtern	Adjective
wasjan	einen kleiden	Verb
and-wasjan	entkleiden	Verb
ga-wasjan	bekleiden mit	Verb
wasti*	Kleid	Noun, common, feminine
wato	Wasser	Noun, common, neuter
waurd	Wort	Noun, common, neuter
waurdahs	seiner vernünftigen Natur gemäß	Adjective
waurdajiuka	Wortstreit	Noun, common, feminine
and-waurdjan	widersprechen	Verb
filu-waurdjan	viel Worte machen	Verb
ubil-waurdjan	schmähn	Verb
waurkjan	machen, wirken	Verb
fair-waurkjan	etw. erwirken	Verb
fra-waurkjan	eine Sünde begehen	Verb
ga-waurkjan	bewirken, erwirken, bereiten	Verb
us-waurkjan	ausführen, vollbringen	Verb
waurms	Wurm, Schlange	Noun, common, masculine
waurstw	Werk, Tat; Wirksamkeit	Noun, common, neuter
waurstwa	Arbeiter	Noun, common, masculine
waurstwei	das Tun	Noun, common, feminine
waurstweigs	wirksam	Adjective
waurstwja	Arbeiter	Noun, common, masculine
waurts	Wurzel	Noun, common, feminine
wegs	Erschütterung, Sturm; Wellenschlag, Brandung	Noun, common, masculine
weiha	Priester	Noun, common, masculine
weihan	kämpfen	Verb
and-waihan*	widerstreiten	Verb
weihan	weihen, heiligen	Verb
ga-weihan	weihen, heiligen	Verb
weihiþa	Weihe, Heiligung, Heiligkeit	Noun, common, feminine
weihnan	heilig werden	Verb
weihs	heilig	Adjective
weihs	Dorf, Weiler	Noun, common, neuter
wein	Wein	Noun, common, neuter
weinabasi	Weinbeere	Noun, common, neuter
weinagards	Weingarten, Weinberg	Noun, common, masculine
weinatains	Weinrebe	Noun, common, masculine
weinatriu	Weinstock	Noun, common, neuter
weindrugkja	Weintrinker, Säufer	Noun, common, masculine
weinnas	trunken, Trunkenbold	Unassigned
weipan	kränzen, krönen	Verb
weis	wir	Pronoun, personal
fullaweisjan	überreden	Verb
ga-fullaweisjan	vollenden oder beglaubigen	Verb
ga-weison	heimsuchen, besuchen, besorgen	Verb
fra-weitan	einem Recht verschaffen, ihn rächen an	Verb
in-weitan	die Proskynesis, Verehrung erweisen, begrüßen	Verb
fair-weitjan	gespannt hinblicken auf	Verb
idweitjan	schmähn	Verb
weitwodei	Zeugnis	Noun, common, feminine
weitwodeins	Zeugnisablegung, Zeugnis	Noun, common, feminine
weitwodi	Zeugnis	Noun, common, neuter
weitwodiþa	Zeugnisablegung, Zeugnis	Noun, common, feminine
weitwodjan	zeugen, bezeugen	Verb
miþ-weitwodjan	mitzeugen	Verb
weitwoþs*	Zeuge	Noun, common, masculine
wenjan	warten, hoffen auf 	Verb
faura-wenjan	auf einen vorher hoffen	Verb
ga-wenjan	erwarten, annehmen	Verb
wens	Hoffnung	Noun, common, feminine
wepna	Waffen	Noun, common, neuter
Wereka	Wereka	Noun, proper
tuz-werjan	zweifeln	Verb
un-werjan	unwillig sein, zürnen	Verb
ga-widan	zusammenbinden, verbinden	Verb
in-widan	verleugnen	Verb
widuwairna*	Waise	Noun, common, masculine
widuwo	Witwe	Noun, common, feminine
wigadeinom	Dornpflanzen	Noun, common, feminine
ga-wigan	bewegen	Verb
[wigana]	zum Kriege	Noun, common
wigs	Weg	Noun, common, masculine
wiko	in der Reihenfolge seiner Tagesklasse, da seine Tagesklasse an der Reihe war	Noun, common, feminine
wilja	Wille	Noun, common, masculine
wiljahalþei	Parteilichkeit	Noun, common, feminine
wiljan	wollen	Verb
Wiljariþ	Wiljariþ	Noun, proper
wilþeis	wild	Adjective
wilwa	räuberisch, Räuber	Noun, common, masculine
wilwan	rauben	Verb
dis-wilwan	ausplündern, berauben	Verb
fra-wilwan	fortreißen	Verb
bi-windan	umwinden	Verb
du-gawindan	du-gawindan	Verb
us-windan	flechten	Verb
winds	Wind	Noun, common, masculine
winja	Weide	Noun, common, feminine
winna	Leiden	Noun, common, feminine
winnan	leiden	Verb
ga-winnan	erleiden	Verb
winno	Leiden	Noun, common, feminine
wintrus	Jahr	Noun, common, masculine
winþiskauro	Worfschaufel	Noun, common, feminine
dis-winþjan	zermalmen	Verb
wipja	Kranz	Noun, common, feminine
wis	Meeresstille	Noun, common, neuter
wisan	sein, dasein, existieren	Verb
at-wisan	da sein	Verb
faura-wisan	vorhanden ist	Verb
fra-wisan	verbrauchen, vergeuden	Verb
in-wisan	als der Sabbat vorüber war	Verb
miþ-wisan	beistehn, zu Hilfe kommen	Verb
ufar-wisan	überragend sein	Verb
wisan	sich freuen, schwelgen, schmausen	Verb
bi-wisan	sich freuen, schwelgen, schmausen	Verb
wisan	weilen, bleiben	Verb
ga-wisan	verweilen, verbleiben	Verb
miþ-gawisan	mit einem zusammen verweilen	Verb
þairh-wisan	verbleiben, verharren	Verb
wists	Wesen, Natur	Noun, common, feminine
wit	wit	Pronoun, personal
witan	wissen	Verb
miþ-witan	ich bin mir nichts bewußt	Verb
witan	auf etw. sehn, acht geben, es bewachen, hüten, etw. halten	Verb
witodafasteis	Gesetzeskundiger	Noun, common, masculine
witodalaisareis	Gesetzeslehrer	Noun, common, masculine
witodalaus	gesetzlos	Adjective
witodeigo	gesetzlich	Adverb
witoþ	Gesetz	Noun, common, neuter
witubni	Kenntnis, Erkenntnis	Noun, common, neuter
wiþon	schütteln	Verb
wiþra	wider, gegen	Preposition, +A
wiþrawairþs	gegenüberliegend, entgegengesetzt	Adjective
wiþrus	 Lamm	Noun, common, masculine
wizon	die Schwelgende	Verb
wlaiton	sich umsehn	Verb
wlits	Angesicht; Ansehn, Gestalt	Noun, common, masculine
wlizjan	ins Gesicht schlagen, kasteien	Verb
Wmainaius	Wmainaius	<none>
wokains	das Wachen	Noun, common, feminine
wokra	Zins	Noun, common
wopjan	rufen	Verb
at-wopjan	herbeirufen	Verb
uf-wopjan	aufschreien, ausrufen	Verb
woþeis*	angenehm	Adjective
woþs*	wütend, besessen	Adjective
wraiqs	krumm	Adjective
wraka	Verfolgung	Noun, common, feminine
wrakja	Verfolgung	Noun, common, feminine
wrakjan	verfolgen	Verb
wraks	Verfolger	Noun, common, masculine
wratodus	Reise	Noun, common, masculine
wraton	reisen	Verb
wrekei	Verfolgung	Noun, common, feminine
[wreþus]	Herde	Noun, common, masculine
wrikan	verfolgen	Verb
fra-wrikan	verfolgen	Verb
ga-wrikan	bestrafen, Rache nehmen an 	Verb
ga-wrisqan	Frucht bringen	Verb
writs	Strich	Noun, common, masculine
wriþus	Herde	<none>
wrohjan	anklagen, beschuldigen	Verb
fra-wrohjan	verklagen, verdächtigen	Verb
wrohs	Klage, Anklage gegen	Noun, common, feminine
wruggo	Schlinge	Noun, common, feminine
wulan	wallen, sieden	Verb
wulfs	Wolf	Noun, common, masculine
wulla	Wolle	Noun, common, feminine
wullareis	Tuchwalker	Noun, common, masculine
wulþags	herrlich, wunderbar	Adjective
wulþriza	wertvoller	Adjective, Comparative
wulþrs	Wert	Noun, common, feminine
wulþus	Herrlichkeit	Noun, common, masculine
wulwa	Raub	Noun, common, feminine
[ga-wundon]	verwunden	Verb
wunds	wund	Adjective
wundufni	Geißel, Plage	Noun, common, feminine
wunns	Leiden	Noun, common, feminine
Xafira	Xafira	Noun, proper
Xreskus	Xreskus	Noun, proper
Xristus	Christus	Noun, proper
Zaibaidaius	Zaibaidaius	Noun, proper
Zakarias	Zakarias	Noun, proper
Zakkaius	Zakkaius	Noun, proper
Zauraubabil	Zauraubabil	Noun, proper
Zaxxaius	Zaxxaius	Noun, proper
Zelotes*	Eiferer, Beiname des Simon	Noun, proper
